*******************************************************************************
 Revised: April 12, 2021       Solar System Barycenter                        0

 Dynamical point 
 ---------------
 The center of mass for the solar system. See object 10 for Sun ephemeris.
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Jun 10 05:11:23 2021 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Solar System Barycenter (0)     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2015-Jul-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Sep-27 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 3 (position, velocity, LT, range, range-rate)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2457204.500000000, A.D. 2015-Jul-01 00:00:00.0000, -5.129328747692322E+05, -2.975438359307176E+04,  2.278004655162669E+04, -4.151588892112884E-03, -1.082679937596346E-02,  1.110489970812729E-04,  1.715519810449202E+00,  5.142999007222602E+05,  4.771847836030353E-03,
2457205.500000000, A.D. 2015-Jul-02 00:00:00.0000, -5.132909234630833E+05, -3.068998004030161E+04,  2.278962875848167E+04, -4.136592685823212E-03, -1.083052724872986E-02,  1.107617253207089E-04,  1.716895628537550E+00,  5.147123606087271E+05,  4.775848709908218E-03,
2457206.500000000, A.D. 2015-Jul-03 00:00:00.0000, -5.136476809559667E+05, -3.162589905906426E+04,  2.279918623370174E+04, -4.121699595255648E-03, -1.083426753758107E-02,  1.104763926794310E-04,  1.718272611697707E+00,  5.151251697749351E+05,  4.779932735862173E-03,
2457207.500000000, A.D. 2015-Jul-04 00:00:00.0000, -5.140031560431889E+05, -3.256214204242724E+04,  2.280871911417115E+04, -4.106906818067380E-03, -1.083802767616425E-02,  1.101922732416657E-04,  1.719650783609328E+00,  5.155383353198666E+05,  4.784097783517089E-03,
2457208.500000000, A.D. 2015-Jul-05 00:00:00.0000, -5.143573572330175E+05, -3.349871102845594E+04,  2.281822746983286E+04, -4.092210490525646E-03, -1.084181513467379E-02,  1.099085435343032E-04,  1.721030167197801E+00,  5.159518641163796E+05,  4.788340725828558E-03,
2457209.500000000, A.D. 2015-Jul-06 00:00:00.0000, -5.147102926495818E+05, -3.443560869573995E+04,  2.282771129538430E+04, -4.077605565702797E-03, -1.084563723474238E-02,  1.096242863853738E-04,  1.722410784327557E+00,  5.163657627192664E+05,  4.792657306386932E-03,
2457210.500000000, A.D. 2015-Jul-07 00:00:00.0000, -5.150619699263063E+05, -3.537283834069815E+04,  2.283717050258526E+04, -4.063085719219233E-03, -1.084950091250540E-02,  1.093385015439271E-04,  1.723792655459905E+00,  5.167800372626719E+05,  4.797042028769427E-03,
2457211.500000000, A.D. 2015-Jul-08 00:00:00.0000, -5.154123960930970E+05, -3.631040383219338E+04,  2.284660491383882E+04, -4.048643302360233E-03, -1.085341243096357E-02,  1.090501247883969E-04,  1.725175799284407E+00,  5.171946933495871E+05,  4.801488087117125E-03,
