*******************************************************************************
 Revised: July 31, 2013                  Sun                                 10

 PHYSICAL PROPERTIES (updated 2018-Aug-15):
  GM, km^3/s^2          = 132712440041.93938  Mass, 10^24 kg        = ~1988500
  Vol. mean radius, km  = 695700              Volume, 10^12 km^3    = 1412000
  Solar radius (IAU)    = 696000 km           Mean density, g/cm^3  = 1.408
  Radius (photosphere)  = 696500 km           Angular diam at 1 AU  = 1919.3"
  Photosphere temp., K  = 6600 (bottom)       Photosphere temp., K  = 4400(top)
  Photospheric depth    = ~500 km             Chromospheric depth   = ~2500 km
  Flatness, f           = 0.00005             Adopted sid. rot. per.= 25.38 d
  Surface gravity       =  274.0 m/s^2        Escape speed, km/s    =  617.7
  Pole (RA,DEC), deg.   = (286.13, 63.87)     Obliquity to ecliptic = 7.25 deg.
  Solar constant (1 AU) = 1367.6 W/m^2        Luminosity, 10^24 J/s = 382.8
  Mass-energy conv rate = 4.260 x 10^9 kg/s   Effective temp, K     = 5772
  Sunspot cycle         = 11.4 yr             Cycle 24 sunspot min. = 2008 A.D.

  Motion relative to nearby stars = apex : R.A.= 271 deg.; DEC.= +30 deg.
                                    speed: 19.4 km/s (0.0112 au/day)
  Motion relative to 2.73K BB/CBR = apex : l= 264.7 +- 0.8; b= 48.2 +- 0.5 deg.
                                    speed: 369 +-11 km/s
*******************************************************************************
 
 
*******************************************************************************
Ephemeris / WWW_USER Thu Jun 10 05:11:25 2021 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE441}
Center body name: Earth (399)                     {source: DE441}
Center-site name: La Palma-TNG
*******************************************************************************
Start time      : A.D. 2015-Jul-01 00:00:00.0000 UT      
Stop  time      : A.D. 2022-Sep-27 00:00:00.0000 UT      
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude positive}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : 342.110900,28.7539331,2.3873812 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 342.110900,5598.10192,3051.1683 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude positive}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun, EARTH                      {source: DE441}
Rel. lght bnd GM: 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.210609.p210831                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2021-JUN-09. PREDICTS-> 2021-AUG-30
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
**********************************************************************************************
Date_________JDUT, , , R.A._(ICRF), DEC_(ICRF),  Ang-diam,    NP.ang,  NP.dist,        TDB-UT,
**********************************************************************************************
$$SOE
2457204.500000000, ,m,    99.42959,   23.15254,  1887.865,  357.1405,  942.791,     68.184115,
2457205.500000000, ,m,   100.46344,   23.08707,  1887.830,  357.5936,  942.682,     68.184087,
2457206.500000000, ,m,   101.49619,   23.01486,  1887.802,  358.0469,  942.573,     68.184058,
2457207.500000000, ,m,   102.52779,   22.93596,  1887.779,  358.5003,  942.465,     68.184030,
2457208.500000000, ,m,   103.55815,   22.85038,  1887.763,  358.9537,  942.358,     68.184002,
2457209.500000000, ,m,   104.58723,   22.75818,  1887.754,  359.4068,  942.251,     68.183974,
2457210.500000000, ,m,   105.61494,   22.65938,  1887.751,  359.8596,  942.145,     68.183946,
2457211.500000000, , ,   106.64123,   22.55402,  1887.756,    0.3118,  942.041,     68.183918,
2457212.500000000, , ,   107.66602,   22.44215,  1887.770,    0.7635,  941.939,     68.183890,
2457213.500000000, , ,   108.68923,   22.32380,  1887.792,    1.2143,  941.840,     68.183863,
2457214.500000000, , ,   109.71080,   22.19904,  1887.824,    1.6642,  941.743,     68.183835,
2457215.500000000, , ,   110.73064,   22.06790,  1887.867,    2.1130,  941.649,     68.183807,
2457216.500000000, , ,   111.74868,   21.93044,  1887.919,    2.5606,  941.559,     68.183780,
2457217.500000000, , ,   112.76482,   21.78672,  1887.983,    3.0068,  941.473,     68.183753,
2457218.500000000, , ,   113.77901,   21.63679,  1888.058,    3.4515,  941.392,     68.183726,
2457219.500000000, , ,   114.79116,   21.48071,  1888.144,    3.8946,  941.314,     68.183698,
2457220.500000000, , ,   115.80119,   21.31854,  1888.241,    4.3359,  941.241,     68.183671,
2457221.500000000, , ,   116.80906,   21.15035,  1888.350,    4.7752,  941.172,     68.183645,
2457222.500000000, , ,   117.81468,   20.97619,  1888.469,    5.2125,  941.108,     68.183618,
2457223.500000000, , ,   118.81800,   20.79614,  1888.599,    5.6476,  941.049,     68.183591,
2457224.500000000, , ,   119.81898,   20.61026,  1888.739,    6.0804,  940.994,     68.183564,
2457225.500000000, , ,   120.81756,   20.41861,  1888.889,    6.5107,  940.943,     68.183537,
2457226.500000000, ,m,   121.81371,   20.22127,  1889.049,    6.9385,  940.897,     68.183511,
2457227.500000000, ,m,   122.80738,   20.01831,  1889.218,    7.3637,  940.855,     68.183484,
2457228.500000000, ,m,   123.79854,   19.80980,  1889.395,    7.7860,  940.818,     68.183458,
2457229.500000000, ,m,   124.78718,   19.59580,  1889.581,    8.2055,  940.784,     68.183432,
2457230.500000000, ,m,   125.77327,   19.37640,  1889.774,    8.6221,  940.755,     68.183405,
2457231.500000000, ,m,   126.75680,   19.15167,  1889.974,    9.0355,  940.729,     68.183379,
2457232.500000000, ,m,   127.73776,   18.92168,  1890.181,    9.4458,  940.707,     68.183353,
2457233.500000000, ,m,   128.71615,   18.68650,  1890.394,    9.8528,  940.689,     68.183327,
2457234.500000000, ,m,   129.69199,   18.44621,  1890.612,   10.2565,  940.674,     68.183302,
2457235.500000000, ,m,   130.66529,   18.20088,  1890.835,   10.6567,  940.662,     68.183276,
2457236.500000000, ,m,   131.63607,   17.95059,  1891.064,   11.0534,  940.655,     68.183251,
